category_list,funding_total_usd,country_code,state_code,funding_rounds,target,founded_year,first_funding_year,last_funding_year
Chat,2000000.0,IND,19,1,1,2012.0,2014.0,2014
Cloud Computing,2000000.0,SGP,,1,1,2012.0,2013.0,2013
Health Care,2500000.0,USA,IA,1,1,2013.0,2015.0,2015
Geospatial,40000.0,NOR,2,1,1,2010.0,2012.0,2012
Music Services,2000000.0,KOR,11,1,1,2012.0,2013.0,2013
Curated Web,43811.0,AUS,2,2,0,2009.0,2009.0,2009
Cosmetics,50000.0,USA,CA,1,0,2008.0,2008.0,2008
Health and Wellness,37639.0,COL,34,1,1,2013.0,2014.0,2014
Doctors,1700000.0,USA,NY,2,1,2011.0,2011.0,2015
Software,1450000.0,USA,WA,1,1,2010.0,2013.0,2013
Health and Wellness,2100000.0,USA,DC,3,1,2013.0,2013.0,2015
E-Commerce,4163132.0,CHN,22,2,1,2010.0,2013.0,2014
Mobile,212000.0,,,2,1,2013.0,2014.0,2015
Health and Wellness,30000000.0,USA,CA,1,1,2002.0,2013.0,2013
Social Media,500000.0,USA,NH,1,1,2011.0,2013.0,2013
Non Profit,761234.47320427,ESP,53,4,1,2013.0,2013.0,2015
unknown,15000000.0,CHN,22,1,1,2014.0,2015.0,2015
Content,2000000.0,,,1,1,2012.0,2013.0,2013
Fitness,2572969.0,GBR,H9,1,1,2010.0,2014.0,2014
Advertising,2000000.0,,,1,1,2009.0,2011.0,2011
unknown,2000000.0,USA,CA,1,1,2011.0,2012.0,2012
Mobile,156000.0,,,2,1,2013.0,2013.0,2013
Manufacturing,30000.0,USA,TX,1,1,2011.0,2011.0,2011
Landscaping,2000000.0,USA,LA,1,1,2012.0,2012.0,2012
Financial Services,10000000.0,USA,FL,1,1,2007.0,2014.0,2014
E-Commerce,117000000.0,USA,NY,5,1,2001.0,2011.0,2015
E-Commerce,750000.0,USA,NY,1,1,2009.0,2012.0,2012
unknown,2000000.0,USA,NC,1,1,2014.0,2014.0,2014
Analytics,4000000.0,USA,CA,3,1,2011.0,2013.0,2015
unknown,2000000.0,,,1,1,2010.0,2013.0,2013
Games,1660000.0,FRA,A8,1,1,2000.0,2008.0,2008
Consumers,58000.0,USA,VT,1,1,2011.0,2012.0,2012
Design,204189.0,BEL,4,1,1,2010.0,2014.0,2014
Digital Media,41250.0,,,1,1,2011.0,2014.0,2014
Biotechnology,4345427.0,USA,MD,3,1,2000.0,2012.0,2015
Mobile,29750000.0,IRL,23,1,1,2006.0,2008.0,2008
News,51507046.0,USA,GA,7,1,2008.0,2010.0,2015
Curated Web,1236454.0,ITA,20,3,1,2012.0,2012.0,2014
Technology,2220000.0,USA,CA,2,1,2010.0,2014.0,2015
Art,2800000.0,USA,NY,2,1,2007.0,2009.0,2010
Advertising,50000.0,USA,CA,2,0,2011.0,2013.0,2013
Delivery,1464128.0,CHN,22,1,1,2004.0,2010.0,2010
E-Commerce,6369507.0,IND,10,1,1,2012.0,2012.0,2012
Big Data,121050000.0,USA,CA,2,1,2013.0,2013.0,2015
Software,2580000.0,SWE,26,1,1,2010.0,2006.0,2006
Health and Wellness,325000000.0,USA,FL,1,1,2010.0,2014.0,2014
Software,396000000.0,CHN,22,5,1,2009.0,2008.0,2014
Biotechnology,15034750.0,USA,NY,6,1,1998.0,2010.0,2014
Android,250000.0,ISR,5,1,0,2010.0,2013.0,2013
Software,1610541.0,CHN,23,2,1,2005.0,2010.0,2010
Mobile,615000.0,SGP,,1,1,2009.0,2011.0,2011
Biotechnology,227049900.0,USA,CA,8,1,2006.0,2005.0,2015
Blogging Platforms,50000.0,CAN,ON,1,1,2011.0,2011.0,2011
Finance,3452941.0,USA,CA,3,0,2010.0,2010.0,2011
Customer Service,2000000.0,USA,CA,1,1,2000.0,2003.0,2003
Sports,2000000.0,USA,FL,1,1,2014.0,2014.0,2014
News,1209701.0,SWE,26,2,1,2010.0,2008.0,2009
Real Estate,2000000.0,,,2,1,2010.0,2010.0,2011
EdTech,4000000.0,IND,19,1,1,2001.0,2007.0,2007
Hardware + Software,600000.0,USA,NY,1,1,2010.0,2012.0,2012
Computers,500000.0,USA,CA,1,1,2007.0,2009.0,2009
unknown,2000000.0,ESP,29,2,1,2010.0,2014.0,2015
Non Profit,400000.0,USA,IL,1,1,2007.0,2014.0,2014
Advertising,2000000.0,FRA,A8,1,0,2006.0,2006.0,2006
Internet,2000000.0,NLD,7,1,1,2009.0,2015.0,2015
Clean Technology,16000000.0,USA,MD,1,1,2010.0,2010.0,2010
Artificial Intelligence,2000000.0,,,1,1,2013.0,2014.0,2014
unknown,2000000.0,,,1,0,2010.0,2008.0,2008
Software,50000.0,USA,NY,1,0,2010.0,2011.0,2011
Software,2942768.88931116,ESP,29,3,1,2010.0,2010.0,2013
Services,1856561.0,CHN,,2,1,2010.0,2013.0,2014
Software,300000.0,USA,IN,2,1,2012.0,2012.0,2014
DIY,25000.0,USA,CA,1,0,2010.0,2010.0,2010
Software,2000000.0,CHN,22,1,1,2004.0,2004.0,2004
Software,2000000.0,USA,CA,1,1,2011.0,2012.0,2012
E-Commerce,118000.0,USA,CO,1,0,2012.0,2012.0,2012
Presentations,250000.0,USA,CA,2,1,2010.0,2008.0,2008
Cloud Computing,5844811.0,USA,CA,1,1,2008.0,2013.0,2013
unknown,2000000.0,,,1,1,2010.0,2007.0,2007
Ad Targeting,2000000.0,USA,CA,1,1,2006.0,2008.0,2008
unknown,2000000.0,ISR,5,1,1,2009.0,2013.0,2013
E-Commerce,10000000.0,SGP,,3,1,2003.0,2011.0,2015
Credit Cards,8300000.0,RUS,48,3,1,2012.0,2012.0,2015
Software,6785876.0,CAN,ON,1,1,2008.0,2010.0,2010
E-Commerce,72000000.0,USA,OH,2,1,1999.0,2014.0,2015
Internet,2000000.0,,,1,1,2008.0,2008.0,2008
Software,383000.0,AUS,4,2,1,2010.0,2010.0,2012
Hardware + Software,2941000.0,USA,IL,3,1,2010.0,2009.0,2011
Mobile,165000000.0,NZL,E7,1,1,2009.0,2013.0,2013
Clean Technology,474116.56105524,GBR,P2,4,1,2010.0,2014.0,2014
E-Commerce,2000000.0,CHN,23,2,1,2010.0,2006.0,2010
Software,275000.0,USA,TX,1,1,2008.0,2010.0,2010
Discounts,33457.0,FRA,A8,1,1,2010.0,2010.0,2010
Curated Web,966728.0,BEL,1,2,1,2011.0,2011.0,2012
Internet of Things,4000000.0,USA,CO,1,1,2011.0,2015.0,2015
Content,100000.0,,,1,0,2010.0,2015.0,2015
Application Platforms,300000.0,USA,WA,2,1,2012.0,2014.0,2015
Health and Wellness,2000000.0,USA,IL,1,1,2015.0,2015.0,2015
unknown,2000000.0,USA,CA,1,0,2010.0,2012.0,2012
Software,85000000.0,USA,IA,1,1,1998.0,2005.0,2005
Cloud Infrastructure,37644420.0,USA,WA,4,1,2010.0,2011.0,2014
Landscaping,20000.0,USA,CA,1,1,2004.0,2013.0,2013
Advertising,6000.0,USA,CA,1,1,2013.0,2014.0,2014
SaaS,3167062.0,IRL,10,1,0,1999.0,2002.0,2002
Curated Web,2300000.0,USA,CA,1,1,2010.0,2014.0,2014
Messaging,939000.0,USA,IL,1,1,2010.0,2007.0,2007
Hospitality,2000000.0,,,1,1,2011.0,2013.0,2013
Art,300000.0,AUS,2,2,1,2004.0,2007.0,2008
EdTech,95875000.0,USA,MD,6,1,2008.0,2009.0,2013
E-Commerce,80000.0,CAN,BC,1,1,2012.0,2011.0,2011
Software,2000000.0,,,1,1,2010.0,2001.0,2001
Collaboration,2000000.0,ISR,2,1,0,2010.0,2008.0,2008
Curated Web,162000000.0,USA,CA,5,1,2010.0,1999.0,2003
Interior Design,2000000.0,USA,CA,1,1,1984.0,1998.0,1998
Energy,2000000.0,USA,NV,1,1,2012.0,2013.0,2013
unknown,2000000.0,GBR,H9,1,0,2015.0,2015.0,2015
Internet,2000000.0,JPN,40,1,1,2010.0,2015.0,2015
Biotechnology,128477567.0,USA,CA,7,1,2007.0,2007.0,2015
Apps,25000.0,USA,NJ,1,1,2013.0,2013.0,2013
Transportation,2000000.0,USA,CO,1,1,2013.0,2013.0,2013
unknown,2000000.0,,,1,0,2015.0,2015.0,2015
Finance,500000.0,USA,IL,1,1,2013.0,2014.0,2014
E-Commerce,2274716.0,GBR,H9,1,1,2012.0,2014.0,2014
FinTech,2000000.0,USA,CA,1,1,2014.0,2015.0,2015
Entertainment,2000000.0,USA,PA,1,1,2010.0,2010.0,2010
Advertising,25654560.0,USA,NY,5,1,2007.0,2009.0,2012
Internet,20000.0,IND,36,1,1,2015.0,2015.0,2015
Curated Web,2000000.0,CZE,52,1,1,2007.0,2007.0,2007
Information Technology,15000000.0,USA,TX,2,1,2010.0,2001.0,2003
Consumer Electronics,17800000.0,USA,PA,1,1,1998.0,2014.0,2014
Biotechnology,5000000.0,CHN,23,1,1,2000.0,2009.0,2009
Biotechnology,1000000.0,USA,GA,2,1,2005.0,2011.0,2013
Software,7650000.0,CAN,ON,1,1,2008.0,2013.0,2013
Communities,1543920.0,FRA,A8,1,1,2010.0,2013.0,2013
Internet,23000000.0,,,3,1,2006.0,2006.0,2008
Enterprise Software,1623640.0,CHN,,1,1,2010.0,2013.0,2013
Finance,2000000.0,DEU,5,1,1,2000.0,2012.0,2012
Data Centers,16000000.0,USA,CA,1,1,2012.0,2014.0,2014
Entertainment,2000000.0,AUS,2,1,1,2013.0,2014.0,2014
Finance,2000000.0,,,1,1,2010.0,2014.0,2014
Point of Sale,2000000.0,USA,MI,3,1,2009.0,2013.0,2015
Artificial Intelligence,609229.0,ESP,,4,1,2011.0,2011.0,2012
Android,6700000.0,GBR,H9,2,1,2008.0,2013.0,2014
Enterprises,2000000.0,CHN,2,1,1,2010.0,2004.0,2004
Blogging Platforms,1573976.0,CHN,22,3,1,1999.0,2011.0,2015
Bitcoin,525000.0,USA,CA,2,1,2014.0,2014.0,2014
Mobile,1629549.0,CHN,,1,1,2013.0,2014.0,2014
Project Management,2000000.0,USA,IL,1,1,1999.0,2006.0,2006
Software,800000.0,USA,OR,1,1,2010.0,2015.0,2015
Mobile,1600000.0,USA,MA,1,1,2010.0,2012.0,2012
Health and Wellness,3750000.0,CHN,30,2,1,2010.0,2006.0,2007
Networking,1719583.0,CHE,7,2,1,2011.0,2011.0,2014
Business Services,6000000.0,USA,FL,1,1,2005.0,2011.0,2011
Cloud Computing,75000.0,BRA,18,1,1,2013.0,2013.0,2013
Biotechnology,133620.0,ITA,6,1,1,2008.0,2011.0,2011
Babies,35000.0,USA,NY,1,1,2015.0,2015.0,2015
Consumer Electronics,500000.0,USA,MA,2,0,2010.0,2010.0,2011
Customer Service,9311190.0,USA,MD,4,1,2005.0,2013.0,2015
Enterprise Software,7289000.0,USA,CA,3,1,2010.0,2009.0,2012
3D,750000.0,USA,WA,1,1,2012.0,2014.0,2014
Biotechnology,1465000.0,USA,MI,2,1,2010.0,2009.0,2013
Services,16674.0,NLD,5,1,1,2010.0,2015.0,2015
3D,2000000.0,USA,CA,1,1,2013.0,2013.0,2013
3D Technology,500000.0,USA,MA,2,1,2013.0,2014.0,2015
3D,380000.0,USA,FL,2,1,2010.0,2008.0,2010
unknown,2000000.0,,,1,1,2010.0,2013.0,2013
Games,503000.0,USA,FL,2,0,2011.0,2011.0,2013
Photography,350000.0,USA,NY,1,1,2013.0,2015.0,2015
3D Printing,4500000.0,NLD,7,2,1,2013.0,2013.0,2014
3D,1200000.0,GBR,H9,2,1,2012.0,2012.0,2013
Alumni,12500.0,,,1,1,2010.0,2015.0,2015
3D Printing,7500.0,USA,TN,1,1,2014.0,2014.0,2014
3D,240000.0,USA,WA,2,1,2013.0,2014.0,2014
Drones,99000000.0,USA,CA,4,1,2009.0,2012.0,2015
unknown,2000000.0,,,1,0,2010.0,2014.0,2014
Hardware + Software,1168005.0,FRA,A2,1,1,2014.0,2015.0,2015
Software,909940.0,USA,MN,3,1,2010.0,2011.0,2013
Software,169500000.0,USA,SC,3,1,1986.0,2014.0,2014
Hardware + Software,150000.0,USA,MI,1,1,2009.0,2012.0,2012
Health Care,16399999.0,IRL,7,1,1,2004.0,2015.0,2015
E-Commerce,400000.0,USA,CA,1,1,2009.0,2014.0,2014
Technology,2000000.0,BGR,42,1,1,2009.0,2009.0,2009
E-Commerce,1250000.0,USA,FL,1,1,1997.0,2010.0,2010
Business Services,701760.0,FRA,B4,1,0,2010.0,2009.0,2009
3D,1880000.0,USA,CT,4,1,2012.0,2013.0,2015
3D Printing,1150000.0,USA,CA,2,1,2014.0,2014.0,2015
3D Technology,50000.0,SVN,61,1,1,2010.0,2013.0,2013
Automotive,2000000.0,USA,IL,1,1,2013.0,2014.0,2014
unknown,202250.031601567,,,1,0,2014.0,2015.0,2015
unknown,202250.031601567,CHE,1,1,1,2014.0,2015.0,2015
3D,2670000.0,RUS,13,2,1,2011.0,2011.0,2012
3D Printing,530000.0,USA,KY,1,1,2012.0,2014.0,2014
3D Printing,30000.0,JOR,16,1,1,2014.0,2014.0,2014
Games,732064.0,,,1,1,2001.0,2010.0,2010
Printing,3000.0,USA,NJ,1,1,2011.0,2015.0,2015
Creative,204952.0,,,1,0,2013.0,2014.0,2014
3D Printing,4247128.0,USA,UT,3,1,2010.0,2014.0,2015
3D,220000.0,,,1,1,2013.0,2014.0,2014
Biotechnology,7436500.0,USA,KY,2,1,2010.0,2009.0,2012
3D Printing,2000000.0,ISR,5,1,1,2010.0,2014.0,2014
3D,2065000.0,IND,19,2,1,2006.0,2007.0,2010
Finance,140000.0,USA,AZ,1,1,2014.0,2014.0,2014
Curated Web,475000.0,,,1,1,2010.0,2008.0,2008
Automated Kiosk,1387500.0,USA,NY,2,1,2009.0,2013.0,2015
Business Analytics,2000000.0,IRL,7,1,1,2013.0,2013.0,2013
Android,1700000.0,HUN,5,2,1,2009.0,2011.0,2012
Software,2249999.0,USA,CA,2,1,2012.0,2012.0,2014
Music,20000000.0,USA,WA,1,1,2003.0,2006.0,2006
Mobile,746185.0,CHN,22,2,1,2005.0,2006.0,2007
Semiconductors,13708150.0,CHN,5,3,0,2006.0,2007.0,2010
unknown,2000000.0,,,1,1,2010.0,2008.0,2008
Messaging,4000000.0,USA,CA,1,1,2005.0,2007.0,2007
Software,2000000.0,USA,AR,1,1,2007.0,2009.0,2009
Web Hosting,65000000.0,USA,CA,3,1,2004.0,2005.0,2008
Android,1500000.0,,,1,1,2010.0,2010.0,2010
iOS,500000.0,GBR,H9,2,1,2014.0,2014.0,2015
Biotechnology,4783500.0,ESP,32,2,1,2010.0,2007.0,2008
Cloud Data Services,148000000.0,USA,CA,3,1,1999.0,2000.0,2004
Consulting,25920000.0,USA,VA,4,1,2006.0,2010.0,2013
unknown,17500000.0,USA,CA,1,1,2006.0,2015.0,2015
Software,1011601.0,USA,MA,3,1,2007.0,2010.0,2011
Curated Web,1500000.0,USA,UT,1,1,2010.0,2006.0,2006
unknown,2000000.0,,,1,1,2008.0,2010.0,2010
Clean Technology,50000000.0,GBR,K4,1,1,2010.0,2011.0,2011
Curated Web,1500000.0,CHN,,2,1,2010.0,2011.0,2012
Game,1000000.0,JPN,40,1,1,2010.0,2014.0,2014
Mobile,1394250.0,FRA,B8,1,1,2005.0,2008.0,2008
Developer APIs,5000000.0,USA,CA,2,1,2007.0,2010.0,2013
Biotechnology,7063012.0,USA,CA,4,1,2011.0,2011.0,2014
App Marketing,2000000.0,USA,TX,1,1,2008.0,2011.0,2011
Physical Security,13000000.0,USA,PA,1,1,1971.0,2002.0,2002
Consulting,2000000.0,USA,CA,2,1,2012.0,2013.0,2014
Manufacturing,13780000.0,FRA,A6,1,1,2010.0,2009.0,2009
Clean Technology,15152514.0,GBR,I9,1,1,2007.0,2014.0,2014
Software,1670000.0,USA,CA,1,1,2013.0,2015.0,2015
Clean Technology,15000000.0,USA,WA,3,1,1999.0,2007.0,2010
Software,272000.0,IRL,29,1,0,2003.0,2007.0,2007
Coupons,50958896.6114209,IRL,7,2,1,2004.0,2006.0,2013
Security,64567194.0,USA,CA,7,1,2002.0,2006.0,2015
Databases,26000000.0,USA,CA,1,1,2010.0,2003.0,2003
Flash Storage,3393925.0,USA,OH,2,1,2007.0,2008.0,2010
Games,163934.0,CHN,12,1,1,2010.0,2013.0,2013
Design,100000000.0,KOR,11,1,1,2010.0,2014.0,2014
Animal Feed,2000000.0,DEU,4,1,1,2010.0,2014.0,2014
unknown,13660000.0,,,1,1,2010.0,2007.0,2007
Mobile,2000000.0,USA,CO,1,1,2013.0,2015.0,2015
E-Commerce,2374979.0,USA,WA,6,1,2009.0,2011.0,2015
Networking,1000.0,BWA,9,1,1,2013.0,2014.0,2014
Creative Industries,228187.783333164,GBR,H9,1,1,2010.0,2013.0,2013
Enterprise Software,6246800.0,,,2,1,1997.0,1999.0,2000
Machine Learning,81000.0,USA,CA,1,1,2014.0,2014.0,2014
Crowdfunding,1050000.0,USA,GA,3,1,2008.0,2008.0,2010
Messaging,750000.0,USA,MD,1,1,2010.0,2011.0,2011
Security,38064570.0,USA,CA,4,1,2004.0,2006.0,2012
Enterprise Software,2000000.0,USA,CA,2,1,2013.0,2013.0,2014
Software,1000000.0,USA,GA,1,1,2004.0,2010.0,2010
Software,1000000.0,USA,WA,1,1,2006.0,2013.0,2013
Commercial Real Estate,17400000.0,USA,CA,4,1,2011.0,2011.0,2013
Advertising,2000000.0,CHE,25,2,1,2011.0,2011.0,2014
Web Hosting,2258720.0,SWE,26,1,1,2010.0,2006.0,2006
Online Travel,500000.0,,,1,0,2015.0,2015.0,2015
Business Services,2000000.0,USA,WA,1,1,2004.0,2004.0,2004
Real Estate,2000000.0,USA,CA,1,1,2010.0,2014.0,2014
Creative,450000.0,USA,MD,1,1,2015.0,2015.0,2015
Internet,485841.245076705,SWE,21,2,1,2011.0,2012.0,2014
Biotechnology,49656999.0,USA,MA,5,1,2011.0,2012.0,2015
Web Design,2000000.0,USA,GA,1,1,2014.0,2014.0,2014
Entertainment,450000.0,USA,NY,1,1,1991.0,2014.0,2014
Software,2000000.0,USA,CA,1,0,2006.0,2007.0,2007
Analytics,2000000.0,USA,IL,1,1,2011.0,2014.0,2014
Clean Technology,20900.0,USA,SC,1,1,2005.0,2013.0,2013
Clean Technology,1160000.0,USA,CA,2,1,2010.0,2012.0,2014
Biotechnology,6999995.0,USA,CA,1,1,2013.0,2015.0,2015
Biotechnology,500000.0,CAN,NS,1,1,2008.0,2015.0,2015
Mobile,3378975.0,USA,VA,1,1,2005.0,2011.0,2011
unknown,2000000.0,,,1,1,2010.0,2011.0,2011
Anything Capital Intensive,22000.0,USA,FL,1,1,2010.0,2014.0,2014
unknown,2000000.0,,,1,0,2010.0,2005.0,2005
Automotive,9416354.0,USA,CA,6,1,2006.0,2006.0,2010
Ad Targeting,320288000.0,USA,CA,8,1,2004.0,2005.0,2014
E-Commerce,1000000.0,,,1,1,2012.0,2012.0,2012
unknown,2000000.0,,,1,0,2010.0,2008.0,2008
E-Commerce,500000.0,JPN,40,1,1,2010.0,2014.0,2014
Hardware + Software,60000000.0,USA,PA,5,1,2005.0,2005.0,2015
Games,892898.0,,,1,1,2010.0,2013.0,2013
Cloud Computing,6500000.0,ROM,10,3,1,2002.0,2004.0,2013
Games,100000.0,GBR,H9,1,1,2014.0,2014.0,2014
Mobile,10000000.0,CHN,30,1,1,2011.0,2012.0,2012
Human Resources,10511317.0,DEU,2,1,1,2010.0,2003.0,2003
Information Technology,2000000.0,DEU,16,1,1,2014.0,2015.0,2015
unknown,2000000.0,,,1,1,2010.0,2015.0,2015
Apps,50000.0,USA,CA,1,1,2012.0,2013.0,2013
Biotechnology,7000000.0,USA,MA,1,1,2011.0,2011.0,2011
Financial Services,2000000.0,,,1,1,2010.0,2014.0,2014
Advertising,1121078.0,GBR,N5,4,1,2010.0,2011.0,2013
Office Space,3607956.0,GBR,,1,1,2010.0,2014.0,2014
unknown,500000.0,,,1,1,2014.0,2015.0,2015
3D Technology,2000000.0,DEU,2,3,1,2013.0,2011.0,2014
Real Estate,50000.0,USA,NY,1,1,2013.0,2015.0,2015
Pets,762500.0,BRA,2,1,1,2013.0,2013.0,2013
Technology,2000000.0,USA,VA,1,1,2010.0,2004.0,2004
Aerospace,95445.0,GBR,G5,1,1,2013.0,2014.0,2014
Curated Web,385980.0,,,1,1,2012.0,2013.0,2013
Software,250000.0,USA,NC,1,1,2004.0,2010.0,2010
Internet,15000.0,USA,TX,1,1,2010.0,2014.0,2014
Games,3500000.0,CHN,23,1,1,2010.0,2009.0,2009
Software,740000.0,USA,NY,2,1,2012.0,2012.0,2013
Business Services,2000000.0,,,2,1,2013.0,2014.0,2014
Consumer Electronics,180000.0,USA,FL,1,1,2013.0,2014.0,2014
Sports,2000000.0,USA,RI,1,1,2011.0,2011.0,2011
Real Estate,2000000.0,USA,SC,1,1,2014.0,2014.0,2014
Fashion,2000000.0,USA,CA,1,1,2010.0,2012.0,2012
Finance,2000000.0,FRA,A8,1,1,2012.0,2012.0,2012
Online Shopping,2013000.0,USA,CA,1,1,2010.0,2014.0,2014
E-Commerce,12900000.0,USA,CA,6,1,2010.0,2009.0,2013
Distribution,100000.0,,,1,1,2014.0,2014.0,2014
Apps,22325000.0,CAN,ON,7,1,2009.0,2011.0,2015
E-Commerce,5000.0,NGA,5,1,1,2010.0,2013.0,2013
Automotive,4500000.0,,,1,0,2010.0,2008.0,2008
Software,27000000.0,CHN,23,3,1,2005.0,2006.0,2007
Carbon,2000000.0,CHN,22,1,1,2007.0,2008.0,2008
